date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2010-02-17,82.506799,82.611556,82.110241,82.499321,168845100,0.004727,0.180552,73.6
2010-02-18,82.364644,83.157761,82.334714,82.985672,193708600,0.005878,0.181347,73.6
2010-02-19,82.768686,83.479498,82.574146,83.157761,222684900,0.002072,0.18149,73.6
2010-02-22,83.464545,83.48699,82.925821,83.172737,132346900,0.00018,0.180905,73.6
2010-02-23,82.948252,83.202646,81.945627,82.162613,207497000,-0.012219,0.183347,73.6
2010-02-24,82.409526,83.053,82.200024,82.91832,176350700,0.009156,0.185744,73.6
2010-02-25,81.736129,82.865951,81.511665,82.806091,259634700,-0.001354,0.184109,73.6
2010-02-26,82.880898,83.142781,82.387072,82.858452,173589300,0.000632,0.182064,73.6
2010-03-01,83.202641,83.801223,83.180195,83.718918,147709700,0.010331,0.184788,73.6
2010-03-02,84.078077,84.354917,83.801232,83.950874,160992400,0.002767,0.182393,73.6
2010-03-03,84.167855,84.527005,83.816188,84.025696,150785000,0.000891,0.178355,73.6
2010-03-04,84.13791,84.399794,83.823657,84.280075,135770400,0.003023,0.176402,73.6
2010-03-05,84.82632,85.552094,84.624296,85.484756,176118800,0.014193,0.171697,73.6
2010-03-08,85.492209,85.686743,85.350044,85.499687,114631200,0.000175,0.156898,73.6
2010-03-09,85.245325,86.038442,85.200434,85.641884,154556700,0.001662,0.156527,73.6
2010-03-10,85.67927,86.255401,85.604448,86.023453,186088800,0.004446,0.155846,73.6
2010-03-11,85.821438,86.405058,85.55956,86.382607,160791100,0.004166,0.155757,73.6
2010-03-12,86.75672,86.771687,86.150659,86.390091,162074800,8.7e-05,0.150758,73.6
2010-03-15,86.240463,86.472411,85.746632,86.412552,146816800,0.00026,0.145794,73.6
2010-03-16,86.651967,87.183206,86.412535,87.100906,168673000,0.007934,0.141539,73.6
2010-03-17,87.362778,87.901501,87.108379,87.617172,177468100,0.00591,0.138923,73.6
2010-03-18,87.624695,87.744408,87.220652,87.572319,196509100,-0.000512,0.137571,73.6
2010-03-19,87.129013,88.120737,86.790922,87.129013,226641100,-0.005075,0.097159,73.6
